state,year,device_type,e_waste_quantity,lead_content_kg,plastic_content_kg,economic_recovery_potential,informal_collection_rate
Kerala,2019,Television,474625,2206.23,13912.87,1207066,0.26
Gujarat,2019,Monitor,384617,3494.6,12000.2,1016610,0.25
Kerala,2019,Refrigerator,504157,1923.29,6754.42,1308430,0.32
Punjab,2018,Smartphone,295232,2935.18,5189.87,723516,0.48
Uttar Pradesh,2018,Refrigerator,492932,3420.75,9098.91,1226067,0.42
Tamil Nadu,2021,Monitor,371384,2188.8,9953.78,939408,0.33
Uttar Pradesh,2021,Laptop,419319,3179.4,11490.01,1017608,0.35
Kerala,2023,Refrigerator,509914,522.56,5954.07,1264883,0.58
Uttar Pradesh,2018,Printer,312870,1027.87,8564.19,650078,0.55
West Bengal,2021,Laptop,408239,1267.72,9682.44,1090352,0.6
Kerala,2019,Monitor,391258,2348.13,13129.67,991256,0.45
Gujarat,2022,Television,457421,930.9,7624.22,1154926,0.57
Gujarat,2018,Printer,335850,1585.22,8931.48,952834,0.21
Delhi,2020,Printer,350147,2505.56,7454.22,870828,0.3
Kerala,2021,Laptop,409689,2015.98,4631.22,1157809,0.29
Uttar Pradesh,2019,Laptop,395942,2641.49,12318.64,971606,0.44
Rajasthan,2022,Air Conditioner,484802,1140.67,9318.69,1239613,0.49
Kerala,2021,Printer,356131,2549.17,14293.53,870179,0.64
Gujarat,2019,Smartphone,328240,3177.58,9145.36,835087,0.26
Gujarat,2019,Printer,348151,1755.05,14509.82,852477,0.58
Karnataka,2023,Monitor,392332,2753.27,4916.58,1036603,0.55
Uttar Pradesh,2018,Printer,370821,3161.51,14012.31,943244,0.51
Kerala,2020,Smartphone,283134,2989.2,7342.84,744425,0.6
Uttar Pradesh,2019,Printer,347296,1689.81,11738.88,881271,0.49
Rajasthan,2020,Monitor,393040,1467.6,6024.64,992213,0.32
Delhi,2022,Air Conditioner,490756,2495.3,12112.8,1276342,0.45
Uttar Pradesh,2021,Monitor,373160,2637.65,13407.24,974461,0.3
Delhi,2018,Laptop,421871,958.07,11476.46,1161138,0.4
Delhi,2022,Printer,349698,1199.34,6429.25,965056,0.62
Tamil Nadu,2018,Television,481423,3404.65,9202.6,1240661,0.27
Punjab,2019,Refrigerator,506591,1005.88,9405.53,1286877,0.3
Gujarat,2019,Television,452077,2759.37,7451.78,1162668,0.44
Rajasthan,2023,Air Conditioner,479876,630.46,6329.32,1126132,0.26
Rajasthan,2023,Monitor,397241,2377.0,7839.35,1052004,0.57
Karnataka,2023,Refrigerator,478099,1507.14,7508.61,1167095,0.25
Karnataka,2019,Printer,358109,1196.87,5135.85,853109,0.28
Tamil Nadu,2022,Smartphone,291138,1434.1,9892.34,783965,0.25
Delhi,2022,Refrigerator,469900,3156.89,6866.68,1142477,0.46
Tamil Nadu,2023,Monitor,418124,1565.28,8553.01,1114883,0.64
Tamil Nadu,2019,Air Conditioner,494087,817.14,12535.38,1212669,0.59
Uttar Pradesh,2021,Refrigerator,505959,2356.36,11533.14,1215455,0.28
Punjab,2020,Smartphone,301916,2951.19,13880.15,768187,0.52
Karnataka,2019,Smartphone,273558,2534.88,13383.86,613062,0.24
Kerala,2022,Monitor,377433,1840.26,10381.27,924174,0.54
Tamil Nadu,2023,Laptop,412385,1203.6,4170.61,1018803,0.5
Maharashtra,2021,Television,446119,2181.69,14634.76,1162963,0.45
Punjab,2023,Smartphone,335826,1684.29,9185.99,777470,0.34
Tamil Nadu,2023,Printer,382823,3064.23,6954.78,1025601,0.23
Karnataka,2019,Laptop,421206,544.98,9525.89,1067235,0.64
Kerala,2023,Laptop,408696,1076.41,5705.98,1025298,0.24
Rajasthan,2021,Laptop,369994,3494.89,9841.27,923552,0.56
Tamil Nadu,2020,Air Conditioner,433888,2877.34,7927.4,1065358,0.21
Rajasthan,2018,Refrigerator,496993,513.81,9117.65,1223815,0.61
Uttar Pradesh,2021,Television,424956,2752.91,5129.51,1064822,0.43
Delhi,2021,Refrigerator,462836,819.36,4213.04,1154774,0.37
Kerala,2020,Smartphone,301716,2611.42,8226.42,850786,0.4
Gujarat,2022,Refrigerator,508273,949.76,5959.74,1255288,0.24
Rajasthan,2021,Monitor,363420,2739.58,9395.86,914511,0.29
Uttar Pradesh,2023,Smartphone,298960,2185.19,8158.1,781490,0.43
Delhi,2020,Refrigerator,514011,2288.82,6538.5,1385995,0.2
West Bengal,2021,Television,425948,2190.47,12227.66,1011273,0.24
Gujarat,2023,Laptop,423668,549.3,5123.59,1152033,0.44
Tamil Nadu,2018,Monitor,357738,785.49,11970.97,950378,0.34
Tamil Nadu,2023,Smartphone,282337,2802.93,13652.26,647258,0.52
Maharashtra,2018,Television,459781,3492.75,10157.01,1181782,0.52
Maharashtra,2023,Laptop,372493,3209.62,8418.5,892597,0.5
Tamil Nadu,2021,Television,440912,2947.16,12351.17,1136329,0.21
Gujarat,2020,Monitor,413195,1397.53,9169.65,942461,0.47
Tamil Nadu,2019,Air Conditioner,494369,1395.2,13283.75,1232042,0.58
West Bengal,2023,Smartphone,301347,2286.46,10397.32,709284,0.36
Kerala,2022,Laptop,382116,2820.83,10453.35,918343,0.28
Maharashtra,2023,Refrigerator,477806,1794.14,12445.77,1117100,0.32
Gujarat,2023,Printer,367495,2515.96,9748.66,909481,0.34
Gujarat,2018,Monitor,366059,725.01,7124.44,905241,0.21
Tamil Nadu,2021,Refrigerator,513590,2563.06,12763.12,1354785,0.33
Rajasthan,2023,Printer,370885,1322.8,7940.03,890112,0.64
Gujarat,2023,Monitor,393060,693.76,10375.47,1024555,0.51
Karnataka,2019,Printer,354323,1265.7,4163.77,829301,0.5
Maharashtra,2019,Smartphone,295363,3152.6,7457.1,731342,0.51
Punjab,2018,Television,443320,2429.91,9753.78,1088441,0.34
Maharashtra,2020,Refrigerator,524580,2123.47,13041.79,1284982,0.62
Tamil Nadu,2019,Refrigerator,538606,2545.03,9503.35,1332114,0.37
Punjab,2020,Smartphone,364576,1186.18,5047.8,883122,0.31
Kerala,2023,Laptop,409974,2809.72,9670.55,1057228,0.56
Punjab,2022,Television,469023,3015.52,9315.31,1148979,0.49
Uttar Pradesh,2019,Television,434789,2522.11,8761.9,1080109,0.37
Punjab,2023,Television,414654,3103.31,8193.23,1007838,0.4
Kerala,2021,Refrigerator,539817,1397.36,13468.72,1337435,0.64
Punjab,2018,Printer,372594,3245.66,13766.35,890065,0.43
Kerala,2019,Television,439109,1710.12,7345.87,1158174,0.29
Uttar Pradesh,2021,Laptop,399618,728.7,10755.52,975364,0.44
Rajasthan,2023,Laptop,367994,1582.73,7632.81,839482,0.28
Delhi,2023,Printer,356291,799.9,5596.59,890426,0.63
Karnataka,2020,Printer,350362,1712.73,5375.54,1006153,0.3
Uttar Pradesh,2023,Laptop,408930,1434.87,9573.33,1059188,0.62
Delhi,2021,Monitor,377635,1931.27,7946.48,953747,0.61
Karnataka,2018,Refrigerator,512296,2201.38,10052.21,1275875,0.26
Delhi,2022,Monitor,401607,2952.35,6864.5,1031567,0.42
Kerala,2022,Monitor,386427,1475.06,13307.87,974029,0.6
Karnataka,2021,Laptop,377544,3122.85,6612.63,955455,0.65
Gujarat,2023,Monitor,350551,2602.63,5291.97,915103,0.28
Tamil Nadu,2018,Laptop,396333,1207.2,12868.14,1087351,0.24
Kerala,2023,Monitor,398044,1816.92,5994.71,968423,0.49
West Bengal,2023,Air Conditioner,500882,2259.0,4091.63,1330123,0.23
Gujarat,2020,Refrigerator,504202,826.88,7147.85,1225218,0.56
Rajasthan,2020,Smartphone,291301,2977.24,5827.97,709072,0.57
Delhi,2023,Smartphone,293999,3263.47,9910.32,662167,0.28
Karnataka,2023,Refrigerator,504755,955.05,5011.71,1216186,0.27
Rajasthan,2018,Monitor,384565,3366.28,9363.14,988319,0.31
Gujarat,2019,Printer,321987,1982.19,13752.56,756107,0.53
Uttar Pradesh,2019,Monitor,344437,2315.0,4114.62,927234,0.53
Delhi,2020,Refrigerator,548729,1934.68,6347.44,1326444,0.22
Maharashtra,2021,Smartphone,292382,1795.18,5618.35,748388,0.33
Tamil Nadu,2021,Air Conditioner,469524,3215.75,14192.84,1161711,0.47
Rajasthan,2020,Smartphone,333091,834.32,5113.95,795698,0.47
Maharashtra,2019,Monitor,375418,1212.57,13418.24,923455,0.65
West Bengal,2022,Smartphone,317811,2433.46,13518.95,702208,0.59
Karnataka,2020,Smartphone,320420,3116.75,7448.21,855099,0.63
Rajasthan,2019,Monitor,382581,2718.44,9991.64,1004689,0.65
Maharashtra,2023,Laptop,412639,1128.16,10112.0,996695,0.51
West Bengal,2019,Monitor,375513,957.55,7905.84,954515,0.52
Maharashtra,2018,Monitor,355403,1669.96,6118.09,817804,0.51
West Bengal,2021,Air Conditioner,468950,506.9,8758.24,1165383,0.45
Kerala,2020,Television,447577,2183.11,9559.07,1067771,0.32
Gujarat,2021,Laptop,398555,1328.51,6856.71,948754,0.25
Punjab,2018,Refrigerator,510246,745.96,8354.61,1371355,0.35
Delhi,2023,Air Conditioner,487718,1716.56,6953.48,1193028,0.61
Rajasthan,2019,Smartphone,318295,3485.19,12522.69,811915,0.39
Rajasthan,2022,Monitor,375896,2513.47,9564.71,906121,0.6
Gujarat,2021,Monitor,400691,1685.19,11661.25,990773,0.48
Tamil Nadu,2020,Television,469909,2134.27,6433.42,1227566,0.57
Punjab,2019,Monitor,372906,2234.6,5703.72,907752,0.45
Maharashtra,2022,Air Conditioner,447557,2713.91,13865.5,1055683,0.33
Maharashtra,2022,Air Conditioner,508822,1011.98,4469.31,1213565,0.39
Maharashtra,2019,Smartphone,299821,998.6,12051.71,794551,0.32
Gujarat,2020,Air Conditioner,452539,1872.65,10711.56,1052608,0.27
Delhi,2020,Smartphone,347659,1580.36,12642.76,927433,0.42
Delhi,2018,Laptop,396134,3314.9,13114.56,925865,0.29
Karnataka,2018,Printer,350096,1806.39,4288.77,815579,0.59
Kerala,2022,Air Conditioner,519885,3297.86,11288.03,1286572,0.39
Karnataka,2022,Laptop,385706,1911.82,7778.2,1077191,0.48
Kerala,2023,Refrigerator,497691,1025.86,6369.59,1280482,0.51
Rajasthan,2022,Air Conditioner,484441,3190.96,5148.49,1160600,0.33
Tamil Nadu,2019,Refrigerator,490019,2871.98,4419.34,1199944,0.49
Maharashtra,2019,Monitor,372553,534.94,14916.82,982118,0.58
Tamil Nadu,2021,Smartphone,334983,791.44,10584.62,826014,0.57
Kerala,2021,Air Conditioner,531869,1675.77,9453.49,1376199,0.43
Rajasthan,2022,Monitor,410195,1774.01,4362.87,996741,0.54
Gujarat,2023,Monitor,385369,2208.18,5749.11,926733,0.48
Tamil Nadu,2019,Laptop,397441,910.26,10336.4,1054244,0.33
Maharashtra,2022,Air Conditioner,460402,1569.37,6025.72,1133331,0.59
Tamil Nadu,2022,Monitor,383971,2370.12,8791.04,958466,0.49
Maharashtra,2022,Refrigerator,509375,2951.53,6997.67,1262580,0.41
Maharashtra,2018,Smartphone,294275,1662.71,8494.31,708502,0.24
Karnataka,2022,Air Conditioner,485588,2256.57,5819.68,1164561,0.21
Karnataka,2020,Monitor,418394,1326.01,10860.87,1071608,0.38
Rajasthan,2020,Laptop,408184,1848.92,7711.28,933529,0.65
Gujarat,2020,Smartphone,316469,2473.23,14180.63,707108,0.58
Delhi,2022,Air Conditioner,489023,643.72,6223.01,1243346,0.2
Kerala,2022,Smartphone,352107,3047.33,13634.14,846404,0.3
West Bengal,2020,Monitor,418544,2210.24,8320.19,1119734,0.64
Gujarat,2023,Monitor,382429,706.88,4567.89,937664,0.37
Gujarat,2023,Television,431403,3459.94,7445.24,1037970,0.42
West Bengal,2023,Smartphone,260126,1659.29,12651.99,657909,0.42
Kerala,2020,Laptop,395380,683.04,13257.89,989302,0.59
Uttar Pradesh,2019,Refrigerator,510829,3467.55,14794.26,1245599,0.61
Karnataka,2023,Television,444697,3301.34,10303.93,1113218,0.46
Gujarat,2023,Television,454924,1776.83,11570.3,1130393,0.59
Kerala,2020,Monitor,382163,2444.8,5183.72,1024183,0.31
West Bengal,2019,Smartphone,312049,2304.82,14131.98,713588,0.63
Kerala,2021,Smartphone,295255,1761.44,5169.2,668496,0.54
Rajasthan,2018,Printer,351470,2911.42,4996.64,858122,0.38
Gujarat,2018,Monitor,386508,1172.91,8779.34,927981,0.41
Kerala,2020,Refrigerator,524817,2875.43,8067.35,1295244,0.53
West Bengal,2022,Air Conditioner,501196,2460.64,9664.54,1312227,0.35
Rajasthan,2022,Printer,348785,837.45,13903.26,850195,0.38
Rajasthan,2022,Printer,365398,2648.45,12161.76,1042319,0.33
Kerala,2023,Smartphone,326701,2334.82,4136.85,857313,0.44
Gujarat,2023,Printer,365115,1246.49,14700.6,857175,0.42
Tamil Nadu,2022,Printer,327401,2026.68,12639.48,803476,0.22
Karnataka,2023,Monitor,410564,2625.58,5606.46,1011950,0.25
Punjab,2021,Printer,350534,2214.27,10586.11,917869,0.29
Delhi,2020,Printer,380494,1230.38,11776.1,911609,0.48
Maharashtra,2020,Smartphone,312097,2454.32,13064.02,834660,0.61
Kerala,2019,Refrigerator,499602,2621.69,5288.68,1290033,0.45
West Bengal,2019,Air Conditioner,478907,2249.27,10133.03,1180431,0.57
Karnataka,2019,Smartphone,261364,2930.55,10542.43,641097,0.28
Delhi,2020,Printer,372807,2815.33,10518.7,899342,0.59
Delhi,2020,Refrigerator,489575,1339.6,8454.33,1130861,0.22
West Bengal,2019,Smartphone,309617,3094.65,7189.11,791390,0.48
Gujarat,2019,Television,445143,1790.18,13379.54,1111457,0.43
Punjab,2022,Air Conditioner,483048,3432.97,10885.54,1227825,0.21
Kerala,2019,Laptop,403354,3451.2,14997.52,1073059,0.3
Delhi,2019,Air Conditioner,496350,562.8,6848.53,1302632,0.59
Uttar Pradesh,2022,Smartphone,310312,1054.97,4927.51,745051,0.62
West Bengal,2020,Television,457408,746.98,10519.32,1150351,0.47
Tamil Nadu,2019,Smartphone,309420,1997.66,10033.77,736008,0.31
Uttar Pradesh,2022,Monitor,393855,2313.93,10257.41,993174,0.59
Maharashtra,2022,Smartphone,321729,1004.69,14925.56,759609,0.62
Tamil Nadu,2021,Laptop,407756,3295.66,10839.17,943672,0.43
Maharashtra,2018,Monitor,367963,3253.49,11514.35,872009,0.3
Rajasthan,2021,Laptop,431115,3278.47,6718.0,1089483,0.42
